# Gnuplot File : forces of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
2.96	-118295 -19.6192 0 0 0 -9.80759	
2.97	-107538 -19.6192 0 0 0 -9.80761	
2.98	-129175 -19.6192 0 0 0 -9.80762	
2.99	-117437 -19.6192 0 0 0 -9.80764	
3	-138174 -19.6192 0 0 0 -9.80766	
3.01	-125618 -19.6192 0 0 0 -9.80767	
3.02	-114195 -19.6192 0 0 0 -9.80769	
3.03	-135227 -19.6192 0 0 0 -9.80771	
3.04	-122940 -19.9162 0.993075 0.00397926 -0.654741 -10.0011	
3.05	-143178 -20.5153 3.82065 0.0332601 -2.62768 -10.4092	
3.06	-130170 -21.216 8.60747 0.0998761 -6.15592 -10.9117	
3.07	-118337 -21.99 14.2764 0.195795 -10.6221 -11.4891	
3.08	-138996 -22.7016 19.6677 0.306362 -15.2034 -12.0511	
3.09	-126369 -23.2958 24.109 0.416516 -19.2992 -12.5497	
3.1	-114881 -23.8307 28.3445 0.523663 -23.2407 -13.0062	
3.11	-135854 -24.5749 32.1519 0.611819 -26.8459 -13.5904	
3.12	-123512 -25.2709 35.3245 0.696602 -29.957 -14.1547	
3.13	-143701 -26.1857 39.7699 0.844513 -33.8242 -14.8364	
3.14	-130646 -26.8833 42.8571 0.967493 -36.8435 -15.4149	
3.15	-150186 -27.7567 46.3173 1.05057 -39.9843 -16.1188	
3.16	-136543 -29.2996 49.4323 1.01068 -42.7849 -17.3265	
3.17	-124133 -31.9015 53.8186 0.788079 -46.2536 -19.3775	
3.18	-144265 -32.2009 56.672 0.64224 -48.9296 -20.0361	
3.19	-131159 -31.1672 59.6416 0.679909 -51.7816 -19.6114	
3.2	-119235 -30.2423 60.6102 0.724105 -53.2782 -19.0395	
3.21	-139815 -29.469 65.1665 0.753073 -56.2566 -18.4504	
3.22	-127113 -28.843 68.6242 0.750085 -59.8761 -17.9206	
3.23	-146976 -28.6032 70.3799 0.639053 -61.7895 -17.7239	
3.24	-133625 -27.6881 72.4401 0.53781 -63.6808 -17.082	
3.25	-121479 -25.2289 76.4712 0.584144 -66.9838 -15.1859	
3.26	-141853 -24.5499 78.9327 0.591861 -69.3595 -14.3185	
3.27	-128968 -24.7319 80.0493 0.609189 -70.7228 -14.1131	
3.28	-148662 -25.2292 82.9332 0.628254 -73.0519 -14.2601	
3.29	-135157 -25.4279 80.6783 0.578383 -71.9632 -14.291	
3.3	-122874 -25.3011 85.7073 0.830943 -75.3874 -14.0375	
3.31	-143123 -24.1281 90.0121 1.18828 -78.8954 -13.107	
3.32	-130119 -20.9831 87.4463 1.40019 -78.0464 -10.872	
3.33	-149698 -17.6894 77.1796 1.27824 -71.5971 -8.47554	
3.34	-136094 -17.3413 86.3633 3.25561 -64.7907 -9.12661	
3.35	-123726 -20.5053 64.7804 0.408994 -60.1669 -10.3238	
3.36	-143896 0.672324 49.8744 0.406946 -59.8539 -4.11662	
3.37	-130814 -30.841 32.9128 -3.8998 -59.0778 -0.813736	
3.38	-150341 -21.7458 79.3711 6.84601 -48.9113 -3.3449	
3.39	-136699 -19.9539 39.1022 -1.18313 -44.6109 -2.69104	
3.4	-155653 14.0221 -32.6646 -17.888 -45.9301 -12.0113	
3.41	-141492 -69.6251 -59.5536 -11.7599 -43.9555 -3.99724	
3.42	-128663 -16.6157 93.7877 12.6981 -33.4747 -9.36726	
3.43	-148357 -44.6098 -40.3044 3.05219 -28.6505 -3.24917	
3.44	-134879 54.4903 92.0228 -10.7264 -24.2739 -12.0972	
3.45	-154015 19.003 -31.3137 -0.644411 -16.6194 -16.4105	
3.46	-140035 -37.4625 -40.0192 23.6081 -15.4611 -3.27094	
3.47	-127305 -62.3817 -100.339 17.1428 -14.0106 2.06668	
3.48	-147130 20.3198 2.74844 -10.629 -7.0771 -9.08555	
3.49	-133714 -35.2687 -63.6617 7.86366 4.44551 -4.70327	
3.5	-121574 1.00537 -30.9898 -0.540574 1.12977 -6.97493	
3.51	-141931 3.57112 -50.4696 0.570868 3.19341 -7.24419	
3.52	-129061 -20.8219 5.4249 0.579754 -2.99478 -10.3096	
3.53	-148741 -20.7313 4.85642 0.534977 -2.51889 -10.321	
3.54	-135224 -20.6422 4.36375 0.488903 -2.15454 -10.3116	
3.55	-122928 -20.5569 3.93204 0.443436 -1.86885 -10.29	
3.56	-143165 -20.4764 3.55046 0.3999 -1.6395 -10.2616	
3.57	-130156 -20.4013 3.21091 0.359038 -1.45123 -10.2302	
3.58	-149736 -20.3319 2.90719 0.32123 -1.29353 -10.1978	
3.59	-136129 -20.2679 2.63446 0.286613 -1.15911 -10.166	
3.6	-123750 -20.2093 2.38882 0.25517 -1.04284 -10.1354	
3.61	-143912 -20.1556 2.16711 0.226781 -0.941058 -10.1066	
3.62	-130835 -20.1067 1.96668 0.201234 -0.851211 -10.0798	
3.63	-118937 -20.0621 1.78526 0.17836 -0.771252 -10.0551	
3.64	-139538 -20.0215 1.62088 0.157948 -0.699646 -10.0324	
3.65	-126858 -19.9846 1.47183 0.139775 -0.635224 -10.0117	
3.66	-115322 -19.951 1.33662 0.123623 -0.577074 -9.99276	
3.67	-136251 -19.9206 1.21391 0.109287 -0.524461 -9.97559	
3.68	-123870 -19.8929 1.10252 0.0965757 -0.476778 -9.95999	
3.69	-112606 -19.8677 1.00138 0.0853152 -0.433513 -9.94585	
3.7	-133782 -19.8449 0.909549 0.0753473 -0.394224 -9.93303	
3.71	-121626 -19.8242 0.826154 0.066529 -0.358524 -9.92141	
3.72	-110566 -19.8054 0.750417 0.0587317 -0.326074 -9.91089	
3.73	-131927 -19.7883 0.68163 0.0518403 -0.296569 -9.90136	
3.74	-119940 -19.7728 0.619154 0.0457516 -0.269737 -9.89273	
3.75	-140449 -19.7587 0.562409 0.0403737 -0.245333 -9.88492	
3.76	-127686 -19.7459 0.510868 0.0356248 -0.223135 -9.87785	
3.77	-116075 -19.7343 0.464052 0.0314322 -0.202943 -9.87145	
3.78	-136936 -19.7238 0.421528 0.0277314 -0.184576 -9.86565	
3.79	-124492 -19.7142 0.382902 0.0244651 -0.167868 -9.86041	
3.8	-113172 -19.7056 0.347817 0.0215826 -0.15267 -9.85566	
3.81	-134296 -19.6977 0.315948 0.0190391 -0.138845 -9.85135	
3.82	-122093 -19.6905 0.286999 0.0167949 -0.126269 -9.84746	
3.83	-110991 -19.684 0.260704 0.0148149 -0.11483 -9.84393	
3.84	-100898 -19.6781 0.236818 0.0130681 -0.104425 -9.84074	
3.85	-123138 -19.6728 0.215122 0.011527 -0.0949606 -9.83785	
3.86	-111950 -19.6679 0.195413 0.0101676 -0.0863524 -9.83523	
3.87	-133186 -19.6635 0.177511 0.00896839 -0.078523 -9.83286	
3.88	-121084 -19.6595 0.161248 0.00791056 -0.071402 -9.83071	
3.89	-110073 -19.6559 0.146476 0.00697744 -0.0649255 -9.82877	
3.9	-131479 -19.6526 0.133058 0.00615436 -0.0590353 -9.82701	
3.91	-119532 -19.6496 0.120869 0.00542834 -0.0536785 -9.82541	
3.92	-108663 -19.6469 0.109839 0.00471251 -0.0488563 -9.82395	
3.93	-130197 -19.6444 0.099786 0.0041022 -0.0444443 -9.82262	
3.94	-118367 -19.6421 0.0906496 0.00357911 -0.0404228 -9.82143	
3.95	-107603 -19.6401 0.0823882 0.00306474 -0.0368044 -9.82034	
3.96	-129234 -19.6382 0.074851 0.00263683 -0.0334865 -9.81935	
3.97	-117491 -19.6366 0.068042 0.00221733 -0.0305035 -9.81845	
3.98	-106807 -19.635 0.0618835 0.00180791 -0.0278186 -9.81763	
3.99	-128511 -19.6336 0.0562312 0.00148817 -0.0253302 -9.81689	
4	-116834 -19.6324 0.0511402 0.00117694 -0.0230992 -9.81622	
4.01	-106209 -19.6313 0.0465428 0.000875677 -0.0210934 -9.8156	
4.02	-127967 -19.6302 0.0422974 0.000655448 -0.0192165 -9.81505	
4.03	-116339 -19.6293 0.0384824 0.000442817 -0.0175365 -9.81455	
4.04	-105760 -19.6284 0.0350405 0.000238973 -0.0160263 -9.8141	
4.05	-127559 -19.6277 0.031938 4.53513e-05 -0.0146695 -9.81368	
4.06	-115968 -19.6269 0.0290319 -7.90634e-05 -0.0133745 -9.81332	
4.07	-105423 -19.6263 0.0264299 -0.000196973 -0.0122182 -9.81298	
4.08	-127252 -19.6257 0.0240859 -0.000307416 -0.0111789 -9.81268	
4.09	-115689 -19.6252 0.0219752 -0.0004092 -0.0102444 -9.81241	
4.1	-105169 -19.6247 0.0200795 -0.000500439 -0.00940543 -9.81217	
4.11	-127022 -19.6243 0.0182584 -0.000541777 -0.00858036 -9.81195	
4.12	-115480 -19.6239 0.0166298 -0.000578487 -0.00784294 -9.81175	
4.13	-136395 -19.6236 0.0151616 -0.000610068 -0.00717809 -9.81157	
4.14	-124001 -19.6232 0.0138363 -0.000636006 -0.00657734 -9.81141	
4.15	-112725 -19.6229 0.01264 -0.00065562 -0.00603407 -9.81127	
4.16	-133890 -19.6227 0.011446 -0.000675101 -0.00549176 -9.81112	
4.17	-121724 -19.6224 0.0104322 -0.000690534 -0.00503155 -9.811	
